"","id","symbol","seqnames","strand","TSS","CAGE_representative_TSS","type"
"1","ENSG00000127481","UBR4","chr1","-",19536770,19536754,"protein_coding"
"2","ENSG00000127603","MACF1","chr1","+",39546988,39571071,"protein_coding"
"3","ENSG00000115464","USP34","chr2","-",61697904,61698206,"protein_coding"
"4","ENSG00000163625","WDFY3","chr4","-",85887544,85887798,"protein_coding"
"5","ENSG00000164190","NIPBL","chr5","+",36876861,36876948,"protein_coding"
"6","ENSG00000196367","TRRAP","chr7","+",98475556,98476155,"protein_coding"
"7","ENSG00000253729","PRKDC","chr8","-",48872743,48872696,"protein_coding"
"8","ENSG00000104517","UBR5","chr8","-",103425069,103424928,"protein_coding"
"9","ENSG00000118058","KMT2A","chr11","+",118307205,118307212,"protein_coding"
"10","ENSG00000123384","LRP1","chr12","+",57522276,57522266,"protein_coding"
"11","ENSG00000005810","MYCBP2","chr13","-",77901185,77901221,"protein_coding"
"12","ENSG00000197102","DYNC1H1","chr14","+",102430865,102430910,"protein_coding"
"13","ENSG00000128731","HERC2","chr15","-",28567298,28567298,"protein_coding"
"14","ENSG00000166147","FBN1","chr15","-",48938046,48937906,"protein_coding"
"15","ENSG00000189056","RELN","chr7","-",103629963,103630105,"protein_coding"
"16","ENSG00000055609","KMT2C","chr7","-",152133090,152133073,"protein_coding"
"17","ENSG00000115760","BIRC6","chr2","+",32582096,32582284,"protein_coding"
"18","ENSG00000167548","KMT2D","chr12","-",49453557,49454044,"protein_coding"
"19","ENSG00000086758","HUWE1","chrX","-",53713674,53710974,"protein_coding"
"20","ENSG00000151914","DST","chr6","-",56819426,56507687,"protein_coding"
"21","ENSG00000172915","NBEA","chr13","+",35516424,35516428,"protein_coding"
"22","ENSG00000065526","SPEN","chr1","+",16174359,16174354,"protein_coding"
"23","ENSG00000173064","HECTD4","chr12","-",112820243,112820235,"protein_coding"
"24","ENSG00000157106","SMG1","chr16","-",18937776,18937776,"protein_coding"
"25","ENSG00000198216","CACNA1E","chr1","+",181382238,181452059,"protein_coding"
"26","ENSG00000009413","REV3L","chr6","-",111804918,111804370,"protein_coding"
"27","ENSG00000151150","ANK3","chr10","-",62493248,62149575,"protein_coding"
"28","ENSG00000038382","TRIO","chr5","+",14143811,14143451,"protein_coding"
"29","ENSG00000116539","ASH1L","chr1","-",155532598,155532593,"protein_coding"
"30","ENSG00000145362","ANK2","chr4","+",113739265,113739307,"protein_coding"
"31","ENSG00000005339","CREBBP","chr16","-",3930727,3930699,"protein_coding"
"32","ENSG00000197694","SPTAN1","chr9","+",131314837,131314866,"protein_coding"
"33","ENSG00000092148","HECTD1","chr14","-",31677010,31676885,"protein_coding"
"34","ENSG00000130635","COL5A1","chr9","+",137533620,137533653,"protein_coding"
"35","ENSG00000171316","CHD7","chr8","+",61591337,61591303,"protein_coding"
"36","ENSG00000198793","MTOR","chr1","-",11322564,11322608,"protein_coding"
"37","ENSG00000123200","ZC3H13","chr13","-",46626894,46626863,"protein_coding"
"38","ENSG00000100393","EP300","chr22","+",41487790,41487765,"protein_coding"
"39","ENSG00000153827","TRIP12","chr2","-",230787955,230786711,"protein_coding"
"40","ENSG00000125107","CNOT1","chr16","-",58663790,58663730,"protein_coding"
"41","ENSG00000144028","SNRNP200","chr2","-",96971253,96971284,"protein_coding"
