"","id","symbol","seqnames","strand","TSS","CAGE_representative_TSS","type"
"1","ENSG00000150991","UBC","chr12","-",125401914,125399196,"protein_coding"
"2","ENSG00000153563","CD8A","chr2","-",87035519,87018035,"protein_coding"
"3","ENSG00000171791","BCL2","chr18","-",60987361,60987288,"protein_coding"
"4","ENSG00000105369","CD79A","chr19","+",42381190,42381350,"protein_coding"
"5","ENSG00000136634","IL10","chr1","-",206945839,206945839,"protein_coding"
"6","ENSG00000182866","LCK","chr1","+",32716840,32716866,"protein_coding"
"7","ENSG00000116824","CD2","chr1","+",117297007,117297052,"protein_coding"
"8","ENSG00000128340","RAC2","chr22","-",37640488,37640309,"protein_coding"
"9","ENSG00000232810","TNF","chr6","+",31543344,31543342,"protein_coding"
"10","ENSG00000081237","PTPRC","chr1","+",198607801,198608225,"protein_coding"
"11","ENSG00000112062","MAPK14","chr6","+",35995454,35995585,"protein_coding"
"12","ENSG00000010810","FYN","chr6","-",112194655,112194655,"protein_coding"
"13","ENSG00000166710","B2M","chr15","+",45003675,45003715,"protein_coding"
"14","ENSG00000066336","SPI1","chr11","-",47400127,47400091,"protein_coding"
"15","ENSG00000136869","TLR4","chr9","+",120466610,120466681,"protein_coding"
"16","ENSG00000165025","SYK","chr9","+",93564069,93564101,"protein_coding"
"17","ENSG00000171608","PIK3CD","chr1","+",9711790,9711789,"protein_coding"
"18","ENSG00000115085","ZAP70","chr2","+",98330023,98330039,"protein_coding"
"19","ENSG00000254087","LYN","chr8","+",56792372,56792394,"protein_coding"
"20","ENSG00000138378","STAT4","chr2","-",192016322,192015720,"protein_coding"
"21","ENSG00000100300","TSPO","chr22","+",43547520,43547565,"protein_coding"
"22","ENSG00000164400","CSF2","chr5","+",131409483,131409485,"protein_coding"
"23","ENSG00000115956","PLEK","chr2","+",68592305,68592414,"protein_coding"
"24","ENSG00000170345","FOS","chr14","+",75745477,75745531,"protein_coding"
"25","ENSG00000134460","IL2RA","chr10","-",6104288,6104272,"protein_coding"
"26","ENSG00000073756","PTGS2","chr1","-",186649559,186649555,"protein_coding"
"27","ENSG00000163631","ALB","chr4","+",74262831,74270004,"protein_coding"
"28","ENSG00000005844","ITGAL","chr16","+",30483979,30484072,"protein_coding"
"29","ENSG00000111537","IFNG","chr12","-",68553527,68553520,"protein_coding"
"30","ENSG00000197943","PLCG2","chr16","+",81772702,81812896,"protein_coding"
"31","ENSG00000198821","CD247","chr1","-",167487847,167487766,"protein_coding"
"32","ENSG00000148400","NOTCH1","chr9","-",139440314,139440500,"protein_coding"
"33","ENSG00000163599","CTLA4","chr2","+",204732509,204732494,"protein_coding"
"34","ENSG00000125538","IL1B","chr2","-",113594480,113594355,"protein_coding"
"35","ENSG00000173757","STAT5B","chr17","-",40428725,40428393,"protein_coding"
"36","ENSG00000126353","CCR7","chr17","-",38721724,38721724,"protein_coding"
"37","ENSG00000101017","CD40","chr20","+",44746911,44746953,"protein_coding"
"38","ENSG00000240542","KRTAP9-1","chr17","+",39346139,39346139,"protein_coding"
"39","ENSG00000174059","CD34","chr1","-",208084747,208084460,"protein_coding"
"40","ENSG00000109471","IL2","chr4","-",123377880,123377880,"protein_coding"
"41","ENSG00000188404","SELL","chr1","-",169680839,169680761,"protein_coding"
"42","ENSG00000114013","CD86","chr3","+",121774213,121774213,"protein_coding"
"43","ENSG00000177885","GRB2","chr17","-",73401790,73401755,"protein_coding"
"44","ENSG00000168685","IL7R","chr5","+",35852797,35856993,"protein_coding"
"45","ENSG00000121594","CD80","chr3","-",119278449,119278461,"protein_coding"
"46","ENSG00000198851","CD3E","chr11","+",118175260,118175445,"protein_coding"
"47","ENSG00000096968","JAK2","chr9","+",4985033,4985272,"protein_coding"
"48","ENSG00000157404","KIT","chr4","+",55524085,55524124,"protein_coding"
"49","ENSG00000109320","NFKB1","chr4","+",103422486,103422516,"protein_coding"
"50","ENSG00000105639","JAK3","chr19","-",17958880,17958791,"protein_coding"
"51","ENSG00000168421","RHOH","chr4","+",40192673,40198651,"protein_coding"
"52","ENSG00000075624","ACTB","chr7","-",5603415,5570232,"protein_coding"
"53","ENSG00000142875","PRKACB","chr1","+",84543745,84543762,"protein_coding"
"54","ENSG00000005961","ITGA2B","chr17","-",42466873,42466873,"protein_coding"
