chr	start	end	gene
chr20	49546404	49580092	DPM1
chr1	169813772	169868408	SCYL3
chr1	169626245	169828221	C1orf112
chr1	27933575	27966788	FGR
chr1	196616008	196721634	CFH
chr6	143810948	143837827	FUCA2
chr6	53357139	53486768	GCLC
chr6	41035684	41072715	NFYA
chr1	24678489	24748424	STPG1
chr1	24737284	24804466	NIPAL3
chr6	46092730	46119436	ENPP4
chr3	50187478	50231508	SEMA3F
chr7	117100838	117361025	CFTR
chr7	91870548	92035698	ANKIB1
chr7	91736465	91777266	CYP51A1
chr7	91823283	91880480	KRIT1
chr12	1016243	1104219	RAD52
chr11	64032302	64057176	BAD
chr4	17573815	17614595	LAP3
chr4	11389774	11436389	HS3ST1
chr7	150516715	150563592	AOC1
chr7	120960421	120986158	WNT16
chr7	43147198	43610600	HECW1
chr7	1850429	2277878	MAD1L1
chr17	37021112	37083023	LASP1
chr17	46175719	46205436	SNX11
chr7	150492491	150507208	TMEM176A
chr12	9087959	9107551	M6PR
chr2	72351367	72380167	CYP26B1
chr7	8147814	8307317	ICA1
chr16	90066273	90091536	DBNDD1
chr2	202560277	202650912	ALS2
chr2	202042604	202099129	CASP10
chr2	201975827	202046410	CFLAR
chr2	188323957	188435487	TFPI
chr2	37453774	37485546	NDUFAF7
chr3	50121341	50161454	RBM5
chr8	17150539	17276037	MTMR7
chr8	17349597	17433082	SLC7A2
chr7	127223399	127236759	ARF5
chr17	26686378	26733065	SARM1
chr17	26668659	26689545	POLDIP2
chr3	129269018	129330661	PLXND1
chr1	33468585	33551597	AK2
chr4	15774898	15859853	CD38
chr12	2899119	2919576	FKBP4
chr1	23340941	23415182	KDM1A
chr3	49972440	50142478	RBM6
chr17	3758609	3803185	CAMKK1
chr12	21616845	21659603	RECQL
chr7	92856653	92993338	VPS50
chr19	36240469	36253980	HSPB6
chr19	36260434	36284724	ARHGAP33
chr16	23587323	23612677	NDUFAB1
chr7	95207811	95230803	PDK4
chr6	110740890	110802844	SLC22A16
chr3	50373541	50389283	ZMYND10
chr7	20649830	20821658	ABCB5
chr7	95744532	95956459	SLC25A13
chr7	116588292	116875157	ST7
chr17	45190069	45271788	CDC27
