MGI.symbol	HGNC.symbol
Crk	CRK
Kbtbd11	KBTBD11
mt-Co3	MT-CO3
Mtmr6	MTMR6
Ahrr	AHRR
Arhgap28	ARHGAP28
Gsg1l2	GSG1L2
Ndufa11	NDUFA11
Kif13a	KIF13A
mt-Nd3	MT-ND3
Erbin	ERBIN
Cdsn	CDSN
mt-Atp6	MT-ATP6
Cyp7b1	CYP7B1
Gas2l1	GAS2L1
mt-Nd4l	MT-ND4L
Pole3	POLE3
Fbxo4	FBXO4
Rad23b	RAD23B
Usp18	USP18
Psors1c2	PSORS1C2
Mtmr10	MTMR10
Ripk1	RIPK1
Rasl10a	RASL10A
Sdha	SDHA
mt-Nd6	MT-ND6
Esd	ESD
mt-Nd4	MT-ND4
mt-Co1	MT-CO1
mt-Co2	MT-CO2
mt-Cytb	MT-CYB
mt-Nd2	MT-ND2
mt-Nd1	MT-ND1
Dhrs7c	DHRS7C
Ndufaf1	NDUFAF1
Rtf1	RTF1
Sh3gl2	SH3GL2
Frmd5	FRMD5
mt-Nd5	MT-ND5
AW549877	C5orf51
Ccdc127	CCDC127
Fan1	FAN1
Ankrd46	ANKRD46
Eva1c	EVA1C
Pde8a	PDE8A
Tars	TARS
Cdh6	CDH6
Apobec3	APOBEC3H
Gja3	GJA3
Arsa	ARSA
Ranbp3	RANBP3
Itpka	ITPKA
Zfp346	ZNF346
Olfr267	OR2K2
Htr2a	HTR2A
Gata4	GATA4
Gm4131	C13orf42
Atp2b2	ATP2B2
Mcidas	MCIDAS
4933430I17Rik	C9orf43
Runx2	RUNX2
Glp2r	GLP2R
Zadh2	ZADH2
Mst1r	MST1R
Cdh7	CDH7
Nrg4	NRG4
Hint1	HINT1
Appl1	APPL1
Pdcd6	PDCD6
Fbxo22	FBXO22
Lyrm7	LYRM7
Klf2	KLF2
Mob2	MOB2
Spatc1l	SPATC1L
Supt3	SUPT3H
Cd276	CD276
Sult1b1	SULT1B1
Coq4	COQ4
Mplkip	MPLKIP
Pde4c	PDE4C
N4bp2l1	N4BP2L1
Arhgef7	ARHGEF7
Serpinf2	SERPINF2
Mut	MMUT
Pemt	PEMT
Cbx7	CBX7
Mlh3	MLH3
Gm21119	POTEH
Cys1	CYS1
Lsm3	LSM3
Dhx16	DHX16
Shpk	SHPK
Pfkl	PFKL
Trpv1	TRPV1
Acly	ACLY
Hsfy2	HSFY2
Ahcy	AHCY
Capn13	CAPN13
Gm4737	AHCY
Actg1	ACTG1
Cirbp	CIRBP
Pola2	POLA2
Gm20683	RHOT2
Actrt3	ACTRT3
Dhx29	DHX29
Padi1	PADI1
Tmem43	TMEM43
Myd88	MYD88
Ddx1	DDX1
Ulbp1	ULBP2
Rln3	RLN3
Gm7102	MPLKIP
Gh	GH2
Grik1	GRIK1
2310061I04Rik	C6orf136
Gm7697	POTEH
Plac8l1	PLAC8L1
Tmem184b	TMEM184B
N4bp2l2	N4BP2L2
4930430A15Rik	POTEH
Nefl	NEFL
Tbc1d2b	TBC1D2B
Mical2	MICAL2
Bphl	BPHL
D130043K22Rik	KIAA0319
Aph1c	APH1B
Chl1	CHL1
Ppfibp2	PPFIBP2
Rassf1	RASSF1
Gata5	GATA5
Pcm1	PCM1
Cdh19	CDH19
Ankrd1	ANKRD1
Zfand1	ZFAND1
4930467E23Rik	POTEH
Ap1b1	AP1B1
Gjb2	GJB2
Cdc42ep2	CDC42EP2
Kalrn	KALRN
Fam124a	FAM124A
Ubxn2a	UBXN2A
Gm15319	POTEH
Armc1	ARMC1
Aph1b	APH1B
A26c2	POTEH
Sema5a	SEMA5A
Cd40	CD40
Gm9495	POTEH
Camp	CAMP
Ccno	CCNO
Ccnd3	CCND3
Atp10a	ATP10A
Lars	LARS
Tcp11l1	TCP11L1
Adgb	ADGB
Clcnkb	CLCNKB
Tmem17	TMEM17
Xpc	XPC
Rhot2	RHOT2
Tnnc1	TNNC1
Ubl5	UBL5
Ablim3	ABLIM3
Six1	SIX1
Cstf3	CSTF3
Mrpl38	MRPL38
Fam207a	FAM207A
Tshz1	TSHZ1
Asb14	ASB14
Slc10a2	SLC10A2
